layer,dialect,pc1_mean,pc2_mean,count,within_var
17,eng_Latn,1.4681292071870942,0.14553365067010376,100,0.04288392347105639
17,fra_Latn,0.9823242008632508,0.22793693765571357,100,0.05478029640925364
17,hin_Deva,-0.5301328398323248,0.6941385359079517,100,0.08096463217600805
17,spa_Latn,1.051740801572716,0.2267760795329925,100,0.061061292798228695
17,swh_Latn,-0.11386833981517244,-0.6139130585499324,100,0.06571004175834319
17,urd_Latn,-0.7633582484693622,-0.03800372440577185,100,0.09374093811755393
17,yor_Latn,-0.8253969437443892,-1.755186129808492,100,0.12030900313495213
18,afr_Latn,0.6311682772614996,-0.08536851055998194,100,0.048396295408210464
18,ben_Beng,-1.9389449638172322,-1.4894304186212153,100,0.08008664044852444
18,eng_Latn,1.6153647136865437,-0.051351279877040495,100,0.040877756841985066
18,fra_Latn,1.125909262816609,-0.20063005145351148,100,0.05272615948165253
18,hin_Deva,-0.45160541945744476,-0.8595336001528266,100,0.0778498967496652
18,spa_Latn,1.2050040663951938,-0.180475325810637,100,0.057613918888739964
18,swh_Latn,-0.20106028189066044,0.786455020251128,100,0.07316874613651182
18,urd_Latn,-0.7709883575957677,-0.16045105625966946,100,0.09136465895420565
18,yor_Latn,-1.214847297398739,2.2407852224837557,100,0.17250374866779417
19,afr_Latn,0.61922788684415,0.2003436393362217,100,0.05640873015071394
19,ben_Beng,-2.495421549729153,1.404463331489572,100,0.10122346836133155
19,eng_Latn,1.7908629680032626,0.22981376513417393,100,0.043297478692179765
19,fra_Latn,1.2650945921340664,0.33018166967645884,100,0.05613473998077235
19,hin_Deva,-0.6641648643492384,0.8916966412800689,100,0.09123763830857841
19,spa_Latn,1.3713172295797713,0.2952165303975258,100,0.06338110868505414
19,swh_Latn,-0.0303279498663191,-0.8163329449720612,100,0.0772969128404677
19,urd_Latn,-0.7906284843827577,0.07355248838144007,100,0.10540155861014366
19,yor_Latn,-1.0659598282337814,-2.6089351207234,100,0.2048282116702647
20,afr_Latn,0.6736593498793377,-0.2193058599607399,100,0.06102546529092341
20,ben_Beng,-3.1068652964010677,-1.2964246265880157,100,0.1448585083139462
20,eng_Latn,2.0169025005642642,-0.5900760230626904,100,0.046322614804801904
20,fra_Latn,1.3768452013738735,-0.5746249338805723,100,0.05865793589033522
20,hin_Deva,-0.914886586701967,-0.9868489706856315,100,0.10766490724427084
20,spa_Latn,1.513090499812237,-0.5438941869691963,100,0.06530343814641393
20,swh_Latn,0.05739639879745823,1.4836194722757705,100,0.11793474499305005
20,urd_Latn,-0.9044154620588905,0.06052932244480745,100,0.12216503125686348
20,yor_Latn,-0.7117266052652468,2.667025806426268,100,0.2006086019087165
21,afr_Latn,-0.8413817042649818,-0.45852479198269114,100,0.05588452382160908
21,ben_Beng,0.6310374418232292,3.312150500888256,100,0.14798339374018132
21,eng_Latn,-1.736435164820777,-1.3738278066926546,100,0.05194139338358905
21,fra_Latn,-1.4347353711643367,-0.9533666668879454,100,0.060692260604832876
21,hin_Deva,-0.4882391525827315,1.4820072611742265,100,0.1096835359230828
21,spa_Latn,-1.5028167800073762,-1.0572418996048913,100,0.06939865490605433
21,swh_Latn,0.5820645276696502,-0.4430094329718773,100,0.09131307744418063
21,urd_Latn,0.21608493351327993,1.09231681845088,100,0.1298224445222599
21,yor_Latn,4.574421269834044,-1.6005039823733003,100,0.4959433274181016
22,afr_Latn,-1.0473111014942438,-0.36896369121688205,100,0.0698961667368899
22,ben_Beng,1.4476761403451028,2.791339652711621,100,0.1719231701895122
22,eng_Latn,-2.374134475727273,-1.191006759061898,100,0.06994106708265448
22,fra_Latn,-1.81781072312205,-0.7448453119187495,100,0.0813534378724158
22,hin_Deva,0.03376053562661945,2.022468105206992,100,0.19032710715113277
22,spa_Latn,-1.9123614124332473,-0.8226644748030756,100,0.09771449749339722
22,swh_Latn,0.6702476243412687,-0.7057518781148947,100,0.1303767959897498
22,urd_Latn,0.8262750721757941,1.7867050910166997,100,0.24471738482383695
22,yor_Latn,4.173658340288031,-2.7672807338198147,100,0.5501464344001711
23,afr_Latn,-1.1845207564000553,-0.32850699151215274,100,0.08069445885493931
23,ben_Beng,1.7543909717412507,2.7492442284590446,100,0.1937292724904167
23,eng_Latn,-2.7039438034588175,-1.1446481471324876,100,0.09396986729715574
23,fra_Latn,-2.03883278713875,-0.6228928779239356,100,0.10391796141413935
23,hin_Deva,0.239718897232204,2.141358659707902,100,0.22961449702054304
23,spa_Latn,-2.1670188992163437,-0.726431050207397,100,0.1251056353146174
23,swh_Latn,0.8838035825726973,-0.6537514272526964,100,0.1735853465961761
