layer,pc1,pc2,dialect,correct_final
0,-0.02338861576536246,-0.006125983558355461,fra_Latn,1
0,-0.026828873982454756,-0.007373110398735501,fra_Latn,0
0,-0.027721222577839176,-0.007763306515824279,fra_Latn,0
0,-0.02472334104716747,-0.004376440752074697,fra_Latn,0
0,-0.02483986094805684,-0.004134759385505306,fra_Latn,0
0,-0.02589224461308006,-0.005715450083459951,fra_Latn,1
0,-0.02486738251875383,-0.003968550086992124,fra_Latn,0
0,-0.02637348802440612,-0.0061792949123191795,fra_Latn,0
0,-0.02348882478219075,-0.007132116527713644,fra_Latn,0
0,-0.024835281497793602,-0.005261437149624199,fra_Latn,0
0,-0.02686088472047106,-0.006826538337606021,fra_Latn,1
0,-0.025694335100606903,-0.006932033914515517,fra_Latn,1
0,-0.021398107696744516,-0.0027819531545284692,fra_Latn,0
0,-0.025282157345792203,-0.004923161695207781,fra_Latn,0
0,-0.02481347152616592,-0.0066521525884554195,fra_Latn,1
0,-0.025026927998446205,-0.0059681374312397905,fra_Latn,0
0,-0.027510050030444773,-0.008102741578751465,fra_Latn,0
0,-0.02737323472155038,-0.008004600645416004,fra_Latn,0
0,-0.02368068363476822,-0.005025005744198989,fra_Latn,1
0,-0.028229171552868804,-0.007168338074431476,fra_Latn,1
0,-0.025905465079949785,-0.005856435578645165,fra_Latn,0
0,-0.025409293191780924,-0.0064983747451268625,fra_Latn,0
0,-0.025434610643165077,-0.0037599825745859928,fra_Latn,0
0,-0.02330886119421864,-0.006024777163330665,fra_Latn,1
0,-0.025874979097001063,-0.006339197880867887,fra_Latn,1
0,-0.024408535864987854,-0.004616047307449116,fra_Latn,0
0,-0.02581323994876827,-0.006906039837775604,fra_Latn,1
0,-0.02271732314189373,-0.005281241690128467,fra_Latn,1
0,-0.027225799550107146,-0.00423669608712109,spa_Latn,0
0,-0.028887916433003334,-0.004976482806594564,spa_Latn,1
0,-0.027274859814363072,-0.003509398067787939,spa_Latn,0
0,-0.027332682200460513,-0.004467603863394342,spa_Latn,0
0,-0.02689485604144023,-0.0056905585738600065,spa_Latn,1
0,-0.025595959007575487,-0.005446879382064937,spa_Latn,0
0,-0.027022881452827194,-0.004178532376832593,spa_Latn,0
0,-0.026889731736445537,-0.004938943628925496,spa_Latn,0
0,-0.02751148306008119,-0.004469914794822611,spa_Latn,0
0,-0.0277677816464574,-0.0078027515378393955,spa_Latn,0
0,-0.02748619781181643,-0.007705623517465263,spa_Latn,0
0,-0.02418177393514367,-0.00557233184130318,spa_Latn,1
0,-0.026444903057056605,-0.004328616794568082,spa_Latn,1
0,-0.027584250988901847,-0.004244660072975226,spa_Latn,0
0,-0.027274421333877023,-0.005514820812287254,spa_Latn,1
0,-0.027652141611491383,-0.005501769301061797,spa_Latn,1
0,-0.024627059987990408,-0.005643395148259804,spa_Latn,1
0,-0.025656364473950588,-0.0062796965055487985,spa_Latn,1
0,-0.023497882452601905,-0.005644391007133631,spa_Latn,0
0,-0.02633564639893552,-0.0030146317600867703,spa_Latn,1
0,-0.027436740480506382,-0.006422296363205815,spa_Latn,1
0,-0.026105623413034216,-0.005482341723887503,spa_Latn,1
0,-0.02423198718478435,-0.006514699120635392,spa_Latn,1
0,-0.0277370438783463,-0.004752889181265226,spa_Latn,1
0,-0.02881187686530225,-0.005708653107176165,spa_Latn,1
0,-0.026690618713303707,-0.0056045913084749365,spa_Latn,1
0,-0.02773600429772941,-0.004158092905965022,spa_Latn,1
0,-0.02721576464669497,-0.0059741742403356295,spa_Latn,0
0,-0.02666842627888249,-0.0061687610354242035,spa_Latn,0
0,-0.026999791749538284,-0.006584074690402501,spa_Latn,0
0,-0.025518546347309774,-0.006362151268104495,spa_Latn,0
0,-0.026933940207760656,-0.005382225685106766,spa_Latn,1
0,-0.02467217293278109,-0.005336719768153501,spa_Latn,0
0,-0.02495280511729858,-0.0048326954702556536,spa_Latn,1
0,-0.025665229743657734,-0.004109346037032697,spa_Latn,0
0,-0.024674940800693542,-0.0049136539062676395,spa_Latn,1
0,-0.02471895090940058,-0.006753460711244701,spa_Latn,1
0,-0.02749211169028461,-0.006128101921507571,spa_Latn,0
0,-0.026157006083603825,-0.005060358311092969,spa_Latn,1
0,-0.02698905042779457,-0.004168971473063309,spa_Latn,0
